frame,timestamp,exercise,probability
1,1753202457.7166262,push-ups,0.0010181342950090766
2,1753202458.0432322,push-ups,0.00021025745081715286
3,1753202458.8125317,push-ups,7.851256668800488e-05
4,1753202459.6603925,push-ups,0.00025623157853260636
5,1753202460.541773,push-ups,0.25616925954818726
6,1753202461.4757156,push-ups,0.7842848300933838
7,1753202462.3096876,push-ups,0.19835007190704346
8,1753202463.1848407,push-ups,0.0026532537303864956
9,1753202464.0444634,push-ups,0.00029417977202683687
10,1753202464.9252324,push-ups,0.00017266388749703765
